strain	virus	isolate_id	date	region	country	division	location	host	authors
A/Chicken/Jiangxi/217	avian_flu	EPI979638	2017-02-17	china	china	jiangxi	jiangxi	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Chicken/Jiangxi/401	avian_flu	EPI665634	2015-04-01	china	china	china	china	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Chicken/Jiangxi/9497	avian_flu	EPI592310	2014-02-16	china	china	jiangxi	jiangxi	avian	other_database_import
A/Chicken/Jiangxi/9508	avian_flu	EPI583909	2014-02-16	china	china	jiangxi	jiangxi	avian	other_database_import
A/Chicken/Jiangxi/9513	avian_flu	EPI592177	2014-02-16	china	china	jiangxi	jiangxi	avian	other_database_import
A/Chicken/Jiangxi/9530	avian_flu	EPI592317	2014-02-16	china	china	jiangxi	jiangxi	avian	other_database_import
A/Chicken/Jiangxi/9534	avian_flu	EPI583916	2014-02-16	china	china	jiangxi	jiangxi	avian	other_database_import
A/Chicken/Jiangxi/9558	avian_flu	EPI583923	2014-02-16	china	china	jiangxi	jiangxi	avian	other_database_import
A/Chicken/Jiaxing/4490	avian_flu	EPI583070	2013-10-25	china	china	zhejiang	zhejiang	avian	other_database_import
A/Chicken/Jilin/05/2014	avian_flu	EPI528335	2014-02-21	china	china	jilin	jilin	avian	who_chinese_national_influenza_center
A/Chicken/Jilin/1318	avian_flu	EPI528343	2014-02-20	china	china	jilin	jilin	avian	who_chinese_national_influenza_center
A/Chicken/Jilin/1319	avian_flu	EPI528351	2014-02-20	china	china	jilin	jilin	avian	who_chinese_national_influenza_center
A/Chicken/Jilin/1320	avian_flu	EPI528359	2014-02-21	china	china	jilin	jilin	avian	who_chinese_national_influenza_center
A/Chicken/Liaoning/1613	avian_flu	EPI918992	2016-01-06	china	china	liaoning	liaoning	avian	south_china_agricultural_university
A/Chicken/Liaoning/304	avian_flu	EPI979570	2017-03-04	china	china	liaoning	liaoning	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Chicken/Liaoning/512	avian_flu	EPI1010112	2017-05-15	china	china	liaoning	liaoning	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Chicken/Nanjing/759/2013	avian_flu	EPI515775	2013-04-09	china	china	jiangsu	nanjing	avian	beijing_institute_of_microbiology_and_epidemiology
A/Chicken/Nanjing/761/2013	avian_flu	EPI515785	2013-04-09	china	china	jiangsu	nanjing	avian	beijing_institute_of_microbiology_and_epidemiology
A/Chicken/Netherlands/1600	avian_flu	EPI773762	2016-06-08	?	?	?	?	avian	wageningen_bioveterinary_research
A/Chicken/Shandong/210	avian_flu	EPI979578	2017-02-10	china	china	shandong	shandong	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Chicken/Shandong/403	avian_flu	EPI979586	2017-04-03	china	china	shandong	shandong	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Chicken/Shandong/505	avian_flu	EPI1010104	2017-05-05	china	china	shandong	shandong	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Chicken/Shanghai/S1053/2013	avian_flu	EPI440682	2013-04-03	china	china	shanghai	shanghai	avian	harbin_veterinary_research_institute_(caas)
A/Chicken/Shantou/1550	avian_flu	EPI578096	2014-03-05	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/1552	avian_flu	EPI578103	2014-03-05	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/1554	avian_flu	EPI578110	2014-03-05	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/1556	avian_flu	EPI578117	2014-03-05	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/2537	avian_flu	EPI593193	2014-04-16	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/2538	avian_flu	EPI593200	2014-04-16	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/2539	avian_flu	EPI593207	2014-04-16	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/2546	avian_flu	EPI593214	2014-04-16	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/2550	avian_flu	EPI593221	2014-04-16	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/2556	avian_flu	EPI593228	2014-04-16	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/2562	avian_flu	EPI593235	2014-04-16	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/3057	avian_flu	EPI593310	2014-05-06	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/4325	avian_flu	EPI593317	2014-07-01	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/4816	avian_flu	EPI593332	2014-07-22	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/4824	avian_flu	EPI593339	2014-07-22	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/4832	avian_flu	EPI593346	2014-07-22	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shantou/4833	avian_flu	EPI593353	2014-07-22	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shaoxing/2417	avian_flu	EPI582338	2013-10-20	china	china	zhejiang	zhejiang	avian	other_database_import
A/Chicken/Shaoxing/5086	avian_flu	EPI583086	2013-10-28	china	china	zhejiang	zhejiang	avian	other_database_import
A/Chicken/Shaoxing/5087	avian_flu	EPI583093	2013-10-28	china	china	zhejiang	zhejiang	avian	other_database_import
A/Chicken/Shaoxing/5136	avian_flu	EPI583106	2013-10-28	china	china	zhejiang	zhejiang	avian	other_database_import
A/Chicken/Shaoxing/5146	avian_flu	EPI583113	2013-10-28	china	china	zhejiang	zhejiang	avian	other_database_import
A/Chicken/Shaoxing/5186	avian_flu	EPI583120	2013-10-28	china	china	zhejiang	zhejiang	avian	other_database_import
A/Chicken/Shaoxing/5201	avian_flu	EPI583128	2013-10-28	china	china	zhejiang	zhejiang	avian	other_database_import
A/Chicken/Shaoxing/5224	avian_flu	EPI583135	2013-10-28	china	china	zhejiang	zhejiang	avian	other_database_import
A/Chicken/Shaoxing/5227	avian_flu	EPI583142	2013-10-28	china	china	zhejiang	zhejiang	avian	other_database_import
A/Chicken/Shaoxing/5479	avian_flu	EPI583164	2013-10-29	china	china	zhejiang	zhejiang	avian	other_database_import
A/Chicken/Shenzhen/1665	avian_flu	EPI577950	2013-12-12	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shenzhen/2110	avian_flu	EPI577957	2013-12-13	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shenzhen/2201	avian_flu	EPI581586	2013-12-13	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shenzhen/2293	avian_flu	EPI581593	2013-12-13	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shenzhen/3733	avian_flu	EPI581842	2013-12-19	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shenzhen/3734	avian_flu	EPI581849	2013-12-19	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Shenzhen/3780	avian_flu	EPI581856	2013-12-19	china	china	guangdong	guangdong	avian	other_database_import
A/Chicken/Suzhou/097-1/2013	avian_flu	EPI515793	2013-04-09	china	china	jiangsu	suzhou	avian	beijing_institute_of_microbiology_and_epidemiology
A/Chicken/Suzhou/11-2/2013	avian_flu	EPI687262	2013-11-01	china	china	jiangsu	suzhou	avian	institute_pasteur_of_shanghai,_cas
A/Chicken/Suzhou/11-21/2013	avian_flu	EPI687261	2013-11-01	china	china	jiangsu	suzhou	avian	institute_pasteur_of_shanghai,_cas
A/Chicken/Suzhou/11-26/2013	avian_flu	EPI687260	2013-11-01	china	china	jiangsu	suzhou	avian	institute_pasteur_of_shanghai,_cas
A/Chicken/Suzhou/11-5/2013	avian_flu	EPI687259	2013-11-01	china	china	jiangsu	suzhou	avian	institute_pasteur_of_shanghai,_cas
A/Chicken/Suzhou/12-13/2013	avian_flu	EPI687256	2013-12-01	china	china	jiangsu	suzhou	avian	institute_pasteur_of_shanghai,_cas
A/Chicken/Suzhou/12-33/2013	avian_flu	EPI687251	2013-12-01	china	china	jiangsu	suzhou	avian	institute_pasteur_of_shanghai,_cas
A/Chicken/Suzhou/402	avian_flu	EPI545786	2013-04-02	china	china	jiangsu	jiangsu	avian	other_database_import
A/Chicken/Wuxi/403	avian_flu	EPI663460	2013-04-03	china	china	jiangsu	jiangsu	avian	other_database_import
A/Chicken/Wuxi/405	avian_flu	EPI663458	2013-04-XX	china	china	jiangsu	jiangsu	avian	other_database_import
A/Chicken/Wuxi/5852	avian_flu	EPI1055405	2015-05-19	china	china	jiangsu	jiangsu	avian	beijing_institute_of_microbiology_and_epidemiology
A/Chicken/Wuxi/7144	avian_flu	EPI1055397	2015-12-19	china	china	jiangsu	jiangsu	avian	beijing_institute_of_microbiology_and_epidemiology
A/Chicken/Wuxi/8048	avian_flu	EPI1055413	2016-04-21	china	china	jiangsu	jiangsu	avian	beijing_institute_of_microbiology_and_epidemiology
A/Chicken/Yunnan/316	avian_flu	EPI659180	2015-03-16	china	china	china	china	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Chicken/Zhangzhou/8585	avian_flu	EPI593643	2014-06-23	china	china	fujian	fujian	avian	other_database_import
A/Chicken/Zhangzhou/8829	avian_flu	EPI593650	2014-06-30	china	china	fujian	fujian	avian	other_database_import
A/Chicken/Zhejiang/1/2013	avian_flu	EPI534399	2013-04-04	china	china	zhejiang	zhejiang	avian	zhejiang_provincial_center_for_disease_control_and_prevention
A/Chicken/Zhejiang/1/2014	avian_flu	EPI534418	2014-01-27	china	china	zhejiang	zhejiang	avian	zhejiang_provincial_center_for_disease_control_and_prevention
A/Chicken/Zhejiang/1215	avian_flu	EPI979626	2016-12-15	china	china	zhejiang	zhejiang	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Chicken/Zhejiang/2/2013	avian_flu	EPI534405	2013-04-04	china	china	zhejiang	zhejiang	avian	zhejiang_provincial_center_for_disease_control_and_prevention
A/Chicken/Zhejiang/2/2014	avian_flu	EPI534426	2014-01-17	china	china	zhejiang	zhejiang	avian	zhejiang_provincial_center_for_disease_control_and_prevention
A/Chicken/Zhejiang/3/2013	avian_flu	EPI534412	2013-04-04	china	china	zhejiang	zhejiang	avian	zhejiang_provincial_center_for_disease_control_and_prevention
A/Chicken/Zhejiang/3/2014	avian_flu	EPI534434	2014-01-20	china	china	zhejiang	zhejiang	avian	zhejiang_provincial_center_for_disease_control_and_prevention
A/Chicken/Zhongshan/ZS/2017	avian_flu	EPI918815	2017-01-12	china	china	guangdong	zhongshan	avian	south_china_agricultural_university
A/Chongqing-Fengjie/51/2017	avian_flu	EPI1100732	2017-03-04	china	china	chongqing	chongqing	human	who_chinese_national_influenza_center
A/Chongqing-Kaixian/61/2017	avian_flu	EPI1100748	2017-06-03	china	china	chongqing	chongqing	human	who_chinese_national_influenza_center
A/Chongqing-Shapingba/62/2017	avian_flu	EPI1100764	2017-06-06	china	china	chongqing	chongqing	human	who_chinese_national_influenza_center
A/Chongqing-Wanzhou/67/2017	avian_flu	EPI1100772	2017-03-13	china	china	chongqing	chongqing	human	who_chinese_national_influenza_center
A/Chongqing-Yuzhong/1500/2017	avian_flu	EPI1100780	2017-03-22	china	china	chongqing	chongqing	human	who_chinese_national_influenza_center
A/Chongqing-dianjiang/61/2017	avian_flu	EPI1100724	2017-05-01	china	china	chongqing	chongqing	human	who_chinese_national_influenza_center
A/Chongqing-jiangbei/61/2017	avian_flu	EPI1100740	2017-04-25	china	china	chongqing	chongqing	human	who_chinese_national_influenza_center
A/Chongqing-shapingba/61/2017	avian_flu	EPI1100756	2017-05-15	china	china	chongqing	chongqing	human	who_chinese_national_influenza_center
A/Dressed_chicken/Guangdong/GZ631/2017	avian_flu	EPI1040460	2017-04-13	china	china	guangdong	guangdong	avian	li_ka_shing_faculty_of_medicine,_the_university_of_hong_kong
A/Duck/Bangladesh/2698	avian_flu	EPI965171	2015-12-10	south_asia	bangladesh	bangladesh	bangladesh	avian	other_database_import
A/Duck/Bangladesh/2699	avian_flu	EPI965241	2015-12-10	south_asia	bangladesh	bangladesh	bangladesh	avian	other_database_import
A/Duck/Bangladesh/2704	avian_flu	EPI965232	2015-12-10	south_asia	bangladesh	bangladesh	bangladesh	avian	other_database_import
A/Duck/Guangdong/423	avian_flu	EPI666434	2015-04-23	china	china	china	china	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Duck/Guangdong/DG103/2015	avian_flu	EPI580324	2015-01-07	china	china	guangdong	guangdong	avian	south_china_agricultural_university
A/Duck/Guangdong/DG16807/2016	avian_flu	EPI919522	2016-08-09	china	china	guangdong	guangdong	avian	south_china_agricultural_university
A/Duck/Guangdong/DG527/2014	avian_flu	EPI580280	2014-12-02	china	china	guangdong	guangdong	avian	south_china_agricultural_university
A/Duck/Guangdong/GZ15567/2015	avian_flu	EPI918918	2015-07-07	china	china	guangdong	guangdong	avian	south_china_agricultural_university
A/Duck/Hunan/414	avian_flu	EPI659380	2015-04-14	china	china	china	china	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Duck/Jiangxi/1504	avian_flu	EPI593242	2014-04-27	china	china	jiangxi	jiangxi	avian	other_database_import
A/Duck/Jiangxi/216	avian_flu	EPI979546	2017-02-16	china	china	jiangxi	jiangxi	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Duck/Jiangxi/3096	avian_flu	EPI469196	2009-XX-XX	china	china	jiangxi	jiangxi	avian	other_database_import
A/Duck/Jiangxi/3141	avian_flu	EPI469197	2009-XX-XX	china	china	jiangxi	jiangxi	avian	other_database_import
A/Duck/Jiangxi/3152	avian_flu	EPI469141	2009-XX-XX	china	china	jiangxi	jiangxi	avian	other_database_import
A/Duck/Jiangxi/3169	avian_flu	EPI469198	2009-XX-XX	china	china	jiangxi	jiangxi	avian	other_database_import
A/Duck/Jiangxi/3190	avian_flu	EPI469199	2009-XX-XX	china	china	jiangxi	jiangxi	avian	other_database_import
A/Duck/Jiangxi/3214	avian_flu	EPI469200	2009-XX-XX	china	china	jiangxi	jiangxi	avian	other_database_import
A/Duck/Jiangxi/3230	avian_flu	EPI469201	2009-XX-XX	china	china	jiangxi	jiangxi	avian	other_database_import
A/Duck/Jiangxi/3257	avian_flu	EPI469142	2009-XX-XX	china	china	jiangxi	jiangxi	avian	other_database_import
A/Duck/Jiangxi/3283	avian_flu	EPI469135	2009-XX-XX	china	china	jiangxi	jiangxi	avian	other_database_import
A/Duck/Jiangxi/3286	avian_flu	EPI469202	2009-XX-XX	china	china	jiangxi	jiangxi	avian	other_database_import
A/Duck/Jiangxi/3292	avian_flu	EPI469148	2009-XX-XX	china	china	jiangxi	jiangxi	avian	other_database_import
A/Duck/Sichuan/408	avian_flu	EPI665994	2015-04-08	china	china	china	china	avian	institute_of_microbiology,_chinese_academy_of_sciences
A/Duck/Sunan/408	avian_flu	EPI545793	2013-04-XX	china	china	jiangsu	jiangsu	avian	other_database_import
A/Duck/Wuxi/405	avian_flu	EPI663459	2013-04-05	china	china	jiangsu	jiangsu	avian	other_database_import
A/EV/SDYT/01/2016	avian_flu	EPI1101364	2016-02-17	china	china	shandong	shandong	environment	who_chinese_national_influenza_center
A/EV/SDYT/02/2016	avian_flu	EPI1101372	2016-02-17	china	china	shandong	shandong	environment	who_chinese_national_influenza_center
A/EV/SDYT/03/2016	avian_flu	EPI1101380	2016-02-17	china	china	shandong	shandong	environment	who_chinese_national_influenza_center
A/EV/SDYT/04/2016	avian_flu	EPI1101388	2016-02-17	china	china	shandong	shandong	environment	who_chinese_national_influenza_center
A/EV/SDYT/05/2016	avian_flu	EPI1101396	2016-02-17	china	china	shandong	shandong	environment	who_chinese_national_influenza_center
A/EV/SDYT/06/2016	avian_flu	EPI1101404	2016-02-17	china	china	shandong	shandong	environment	who_chinese_national_influenza_center
A/EV/SDYT/08/2016	avian_flu	EPI1101412	2016-02-17	china	china	shandong	shandong	environment	who_chinese_national_influenza_center
A/EV/SDYT/10/2016	avian_flu	EPI1101420	2016-02-17	china	china	shandong	shandong	environment	who_chinese_national_influenza_center
A/Emperorgoose/Alaska/4406	avian_flu	EPI442155	2006-05-23	north_america	usa	usa	usa	avian	other_database_import
A/Enviroemnt/Guangdong/423	avian_flu	EPI660316	2015-04-23	china	china	china	china	environment	institute_of_microbiology,_chinese_academy_of_sciences
A/Enviroment/Xuzhou/4030	avian_flu	EPI1257511	2018-01-29	china	china	jiangsu	jiangsu	avian	jiangsu_provincial_center_for_disease_control_&_prevention
A/Environment/1-1/Zhejiang/2013	avian_flu	EPI534442	2013-04-07	china	china	zhejiang	zhejiang	environment	zhejiang_provincial_center_for_disease_control_and_prevention
A/Environment/1-2/Zhejiang/2013	avian_flu	EPI534462	2013-04-07	china	china	zhejiang	zhejiang	environment	zhejiang_provincial_center_for_disease_control_and_prevention
A/Environment/1/Zhejiang/2014	avian_flu	EPI534498	2014-01-15	china	china	zhejiang	zhejiang	environment	zhejiang_provincial_center_for_disease_control_and_prevention
A/Environment/2-1/Zhejiang/2013	avian_flu	EPI534449	2013-04-07	china	china	zhejiang	zhejiang	environment	zhejiang_provincial_center_for_disease_control_and_prevention
A/Environment/2-2/Zhejiang/2013	avian_flu	EPI534477	2013-04-07	china	china	zhejiang	zhejiang	environment	zhejiang_provincial_center_for_disease_control_and_prevention
A/Environment/3/Zhejiang/2013	avian_flu	EPI534456	2013-04-07	china	china	zhejiang	zhejiang	environment	zhejiang_provincial_center_for_disease_control_and_prevention
A/Environment/5/Zhejiang/2013	avian_flu	EPI534490	2013-12-19	china	china	zhejiang	zhejiang	environment	zhejiang_provincial_center_for_disease_control_and_prevention
A/Environment/Anhui/3324	avian_flu	EPI628581	2015-03-06	china	china	anhui	anhui	environment	who_chinese_national_influenza_center
A/Environment/Anhui/3325	avian_flu	EPI628573	2015-03-06	china	china	anhui	anhui	environment	who_chinese_national_influenza_center
A/Environment/Anhui/3928	avian_flu	EPI628605	2015-05-01	china	china	anhui	anhui	environment	who_chinese_national_influenza_center
A/Environment/Bangladesh/1008	avian_flu	EPI540412	2010-09-23	south_asia	bangladesh	bangladesh	bangladesh	environment	centers_for_disease_control_and_prevention
A/Environment/Beijing/2216	avian_flu	EPI1022606	2017-04-06	china	china	beijing	beijing	environment	who_chinese_national_influenza_center
A/Environment/Changzhou/022/2018	avian_flu	EPI1255786	2018-05-03	china	china	jiangsu	changzhou	environment	jiangsu_provincial_center_for_disease_control_&_prevention
A/Environment/Changzhou/cz95/2014	avian_flu	EPI557097	2014-10-28	china	china	jiangsu	changzhou	environment	jiangsu_provincial_center_for_disease_control_&_prevention
A/Environment/Fujian/2361	avian_flu	EPI628597	2014-12-30	china	china	fujian	fujian	environment	who_chinese_national_influenza_center
A/Environment/Fujian/2490	avian_flu	EPI1252156	2017-03-10	china	china	fujian	fujian	environment	who_chinese_national_influenza_center
A/Environment/Fujian/3699	avian_flu	EPI1252140	2017-08-14	china	china	fujian	fujian	environment	who_chinese_national_influenza_center
A/Environment/Fujian/4079	avian_flu	EPI1252132	2017-10-18	china	china	fujian	fujian	environment	who_chinese_national_influenza_center
A/Environment/Fujian/4084	avian_flu	EPI1252116	2017-10-24	china	china	fujian	fujian	environment	who_chinese_national_influenza_center
A/Environment/Fujian/4164	avian_flu	EPI1057965	2015-05-06	china	china	fujian	fujian	environment	who_chinese_national_influenza_center
A/Environment/Fujian/4363	avian_flu	EPI1252108	2017-12-05	china	china	fujian	fujian	environment	who_chinese_national_influenza_center
A/Environment/GD-MZ_238/2014	avian_flu	EPI654143	2014-04-01	china	china	china	china	environment	guangdong_provincial_center_for_disease_control_and_prevention
A/Environment/GD-YJ_25003/2013	avian_flu	EPI654038	2013-XX-XX	china	china	china	china	environment	guangdong_provincial_center_for_disease_control_and_prevention
A/Environment/GD-ZS_162/2014	avian_flu	EPI654150	2014-05-01	china	china	china	china	environment	guangdong_provincial_center_for_disease_control_and_prevention
A/Environment/GD-ZS_21/2014	avian_flu	EPI654135	2014-03-01	china	china	china	china	environment	guangdong_provincial_center_for_disease_control_and_prevention
A/Environment/GD-ZS_2155/2014	avian_flu	EPI654106	1905-07-06	china	china	china	china	environment	guangdong_provincial_center_for_disease_control_and_prevention
A/Environment/Guangdong-Guangzhou/XN01070/2013	avian_flu	EPI627606	2013-05-13	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/1392	avian_flu	EPI1100812	2017-01-04	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/1512	avian_flu	EPI1057949	2016-01-08	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/1660	avian_flu	EPI1022646	2017-02-22	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/1666	avian_flu	EPI1100828	2017-02-24	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/2112	avian_flu	EPI628645	2015-01-20	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/2123	avian_flu	EPI628621	2015-02-03	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/2127	avian_flu	EPI628629	2015-01-28	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/2128	avian_flu	EPI628637	2015-01-15	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/2235	avian_flu	EPI628709	2015-01-11	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/2500	avian_flu	EPI628525	2013-12-16	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/262	avian_flu	EPI628437	2013-12-25	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/273	avian_flu	EPI1013182	2016-12-26	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/274	avian_flu	EPI1013206	2016-12-26	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/313	avian_flu	EPI979610	2017-03-13	china	china	guangdong	guangdong	environment	institute_of_microbiology,_chinese_academy_of_sciences
A/Environment/Guangdong/4396	avian_flu	EPI1100836	2016-05-30	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/4740	avian_flu	EPI628533	2014-05-21	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/710	avian_flu	EPI1100788	2017-01-03	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/712	avian_flu	EPI1013214	2017-01-09	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/C13281025/2013	avian_flu	EPI490968	2013-04-26	china	china	guangdong	guangdong	environment	guangdong_provincial_center_for_disease_control_and_prevention
A/Environment/Guangdong/C13281030/2013	avian_flu	EPI490976	2013-04-26	china	china	guangdong	guangdong	environment	guangdong_provincial_center_for_disease_control_and_prevention
A/Environment/Guangdong/C16283222/2016	avian_flu	EPI919612	2016-11-07	china	china	guangdong	guangdong	environment	who_chinese_national_influenza_center
A/Environment/Guangdong/DG104/2015	avian_flu	EPI580334	2015-01-16	china	china	guangdong	guangdong	environment	south_china_agricultural_university
A/Environment/Guangdong/DG127/2015	avian_flu	EPI580352	2015-02-20	china	china	guangdong	guangdong	environment	south_china_agricultural_university
A/Environment/Guangxi/2365	avian_flu	EPI1100844	2017-04-07	china	china	guangxi	guangxi	environment	who_chinese_national_influenza_center
A/Environment/Guangxi/2406	avian_flu	EPI1100852	2017-03-09	china	china	guangxi	guangxi	environment	who_chinese_national_influenza_center
A/Environment/Guangxi/2409	avian_flu	EPI1100868	2017-03-14	china	china	guangxi	guangxi	environment	who_chinese_national_influenza_center
A/Environment/Guangxi/689	avian_flu	EPI628717	2014-12-23	china	china	guangxi	guangxi	environment	who_chinese_national_influenza_center
A/Environment/Guangzhou/4188	avian_flu	EPI1040448	2016-12-21	china	china	guangdong	guangdong	environment	li_ka_shing_faculty_of_medicine,_the_university_of_hong_kong
A/Environment/Guangzhou/5258	avian_flu	EPI1040484	2017-04-13	china	china	guangdong	guangdong	environment	li_ka_shing_faculty_of_medicine,_the_university_of_hong_kong
A/Environment/Guangzhou/K4756-K4776/2017	avian_flu	EPI1040468	2017-02-15	china	china	guangdong	guangzhou	environment	li_ka_shing_faculty_of_medicine,_the_university_of_hong_kong
A/Environment/Guangzhou/K4777-K4882/2017	avian_flu	EPI1040476	2017-02-15	china	china	guangdong	guangzhou	environment	li_ka_shing_faculty_of_medicine,_the_university_of_hong_kong
A/Environment/Hebei/2205	avian_flu	EPI1100876	2017-04-17	china	china	hebei	hebei	environment	who_chinese_national_influenza_center
A/Environment/Hebei/2534	avian_flu	EPI1022638	2017-04-26	china	china	hebei	hebei	environment	who_chinese_national_influenza_center
A/Environment/Hebei/2741	avian_flu	EPI1100884	2017-05-06	china	china	hebei	hebei	environment	who_chinese_national_influenza_center
A/Environment/Hebei/2742	avian_flu	EPI1100892	2017-05-10	china	china	hebei	hebei	environment	who_chinese_national_influenza_center
A/Environment/Hebei/2744	avian_flu	EPI1100908	2017-05-17	china	china	hebei	hebei	environment	who_chinese_national_influenza_center
A/Environment/Hebei/2745	avian_flu	EPI1100916	2017-05-19	china	china	hebei	hebei	environment	who_chinese_national_influenza_center
A/Environment/Hebei/4004	avian_flu	EPI1100924	2016-05-20	china	china	hebei	hebei	environment	who_chinese_national_influenza_center
A/Environment/Hebei/4005	avian_flu	EPI1100932	2016-05-20	china	china	hebei	hebei	environment	who_chinese_national_influenza_center
A/Environment/Hubei/1049	avian_flu	EPI1100956	2017-01-20	china	china	hubei	hubei	environment	who_chinese_national_influenza_center
A/Environment/Hubei/1081	avian_flu	EPI1100964	2017-02-05	china	china	hubei	hubei	environment	who_chinese_national_influenza_center
A/Environment/Hubei/1213	avian_flu	EPI1104036	2017-02-18	china	china	hubei	hubei	environment	who_chinese_national_influenza_center
A/Environment/Hubei/1216	avian_flu	EPI1104060	2017-02-18	china	china	hubei	hubei	environment	who_chinese_national_influenza_center
A/Environment/Hubei/1217	avian_flu	EPI1104084	2017-02-20	china	china	hubei	hubei	environment	who_chinese_national_influenza_center
A/Environment/Hunan/1008	avian_flu	EPI1101012	2016-01-12	china	china	hunan	hunan	environment	who_chinese_national_influenza_center
A/Environment/Hunan/1012	avian_flu	EPI1101020	2015-12-09	china	china	hunan	hunan	environment	who_chinese_national_influenza_center
A/Environment/Hunan/2098	avian_flu	EPI628653	2015-02-02	china	china	hunan	hunan	environment	who_chinese_national_influenza_center
A/Environment/Hunan/3971	avian_flu	EPI628549	2015-04-28	china	china	hunan	hunan	environment	who_chinese_national_influenza_center
A/Environment/Hunan/5112	avian_flu	EPI1101028	2016-02-02	china	china	hunan	hunan	environment	who_chinese_national_influenza_center
A/Environment/Hunan/700	avian_flu	EPI1100972	2017-01-09	china	china	hunan	hunan	environment	who_chinese_national_influenza_center
A/Environment/Hunan/762	avian_flu	EPI628701	2015-01-20	china	china	hunan	hunan	environment	who_chinese_national_influenza_center
A/Environment/Hunan/783	avian_flu	EPI628285	2014-01-27	china	china	hunan	hunan	environment	who_chinese_national_influenza_center
A/Environment/Hunan/806	avian_flu	EPI1100980	2017-01-17	china	china	hunan	hunan	environment	who_chinese_national_influenza_center
A/Environment/Hunan/807	avian_flu	EPI1100988	2017-01-17	china	china	hunan	hunan	environment	who_chinese_national_influenza_center
A/Environment/Hunan/979	avian_flu	EPI1101004	2017-01-18	china	china	hunan	hunan	environment	who_chinese_national_influenza_center
A/Environment/InnerMongolia/2865	avian_flu	EPI1022705	2017-06-02	china	china	neimenggu	neimenggu	environment	who_chinese_national_influenza_center
